SampleID;Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species
1;4,3;3;1,1;0,1;I. setosa
2;4,8;3;1,4;0,1;I. setosa
3;4,9;3,1;1,5;0,1;I. setosa
4;4,9;3,6;1,4;0,1;I. setosa
5;5,2;4,1;1,5;0,1;I. setosa
6;4,4;2,9;1,4;0,2;I. setosa
7;4,4;3;1,3;0,2;I. setosa
8;4,4;3,2;1,3;0,2;I. setosa
9;4,6;3,1;1,5;0,2;I. setosa
10;4,6;3,6;1;0,2;I. setosa
11;4,6;3,2;1,4;0,2;I. setosa
12;4,7;3,2;1,3;0,2;I. setosa
13;4,7;3,2;1,6;0,2;I. setosa
14;4,8;3,4;1,6;0,2;I. setosa
15;4,8;3,4;1,9;0,2;I. setosa
16;4,8;3,1;1,6;0,2;I. setosa
17;4,9;3;1,4;0,2;I. setosa
18;4,9;3,1;1,5;0,2;I. setosa
19;5;3,6;1,4;0,2;I. setosa
20;5;3,4;1,5;0,2;I. setosa
21;5;3;1,6;0,2;I. setosa
22;5;3,2;1,2;0,2;I. setosa
23;5;3,3;1,4;0,2;I. setosa
24;5,1;3,5;1,4;0,2;I. setosa
25;5,1;3,4;1,5;0,2;I. setosa
26;5,1;3,8;1,6;0,2;I. setosa
27;5,2;3,5;1,5;0,2;I. setosa
28;5,2;3,4;1,4;0,2;I. setosa
29;5,3;3,7;1,5;0,2;I. setosa
30;5,4;3,7;1,5;0,2;I. setosa
31;5,4;3,4;1,7;0,2;I. setosa
32;5,5;4,2;1,4;0,2;I. setosa
33;5,5;3,5;1,3;0,2;I. setosa
34;5,8;4;1,2;0,2;I. setosa
35;4,5;2,3;1,3;0,3;I. setosa
36;4,6;3,4;1,4;0,3;I. setosa
37;4,8;3;1,4;0,3;I. setosa
38;5;3,5;1,3;0,3;I. setosa
39;5,1;3,5;1,4;0,3;I. setosa
40;5,1;3,8;1,5;0,3;I. setosa
41;5,7;3,8;1,7;0,3;I. setosa
42;5;3,4;1,6;0,4;I. setosa
43;5,1;3,7;1,5;0,4;I. setosa
44;5,1;3,8;1,9;0,4;I. setosa
45;5,4;3,9;1,7;0,4;I. setosa
46;5,4;3,9;1,3;0,4;I. setosa
47;5,4;3,4;1,5;0,4;I. setosa
48;5,7;4,4;1,5;0,4;I. setosa
49;5,1;3,3;1,7;0,5;I. setosa
50;5;3,5;1,6;0,6;I. setosa
51;4,9;2,4;3,3;1;I. versicolor
52;5;2;3,5;1;I. versicolor
53;5;2,3;3,3;1;I. versicolor
54;5,5;2,4;3,7;1;I. versicolor
55;5,7;2,6;3,5;1;I. versicolor
56;5,8;2,7;4,1;1;I. versicolor
57;6;2,2;4;1;I. versicolor
58;5,1;2,5;3;1,1;I. versicolor
59;5,5;2,4;3,8;1,1;I. versicolor
60;5,6;2,5;3,9;1,1;I. versicolor
61;5,5;2,6;4,4;1,2;I. versicolor
62;5,7;3;4,2;1,2;I. versicolor
63;5,8;2,7;3,9;1,2;I. versicolor
64;5,8;2,6;4;1,2;I. versicolor
65;6,1;2,8;4,7;1,2;I. versicolor
66;5,5;2,3;4;1,3;I. versicolor
67;5,5;2,5;4;1,3;I. versicolor
68;5,6;2,9;3,6;1,3;I. versicolor
69;5,6;3;4,1;1,3;I. versicolor
70;5,6;2,7;4,2;1,3;I. versicolor
71;5,7;2,8;4,5;1,3;I. versicolor
72;5,7;2,9;4,2;1,3;I. versicolor
73;5,7;2,8;4,1;1,3;I. versicolor
74;6,1;2,8;4;1,3;I. versicolor
75;6,2;2,9;4,3;1,3;I. versicolor
76;6,3;2,3;4,4;1,3;I. versicolor
77;6,4;2,9;4,3;1,3;I. versicolor
78;6,6;2,9;4,6;1,3;I. versicolor
79;5,2;2,7;3,9;1,4;I. versicolor
80;6,1;2,9;4,7;1,4;I. versicolor
81;6,1;3;4,6;1,4;I. versicolor
82;6,1;2,6;5,6;1,4;I. virginica
