Date,Open,High,Low,Close,Adj Close,Volume
2009-04-06,29.658203,30.937500,29.541016,30.703125,20.256773,3253043
2009-04-07,29.482422,29.960938,29.072266,29.482422,19.451399,1795584
2009-04-08,30.361328,30.908203,29.746094,30.644531,20.218113,1202688
2009-04-09,31.240234,33.027344,31.025391,32.841797,21.667789,2358579
2009-04-13,32.470703,34.423828,32.285156,33.974609,22.415174,1897062
2009-04-14,32.841797,33.320313,31.572266,31.689453,20.907516,2290893
2009-04-15,32.001953,33.125000,31.591797,32.910156,21.712889,1503232
2009-04-16,33.574219,35.742188,33.125000,35.087891,23.149673,2181427
2009-04-17,33.427734,34.023438,32.734375,33.300781,21.970608,2700902
2009-04-20,32.138672,32.177734,30.332031,30.361328,20.031267,1474048
2009-04-21,30.517578,33.193359,30.410156,33.193359,21.899734,1495347
2009-04-22,32.255859,33.623047,32.041016,32.226563,21.261877,2003661
2009-04-23,35.751953,37.695313,35.751953,37.587891,24.799086,4368384
2009-04-24,37.792969,38.027344,36.464844,37.460938,24.715326,3763712
2009-04-27,36.757813,37.783203,35.644531,36.308594,24.015150,2135142
2009-04-28,35.996094,36.894531,35.712891,36.376953,24.060368,1436774
2009-04-29,37.197266,38.378906,37.197266,37.792969,24.996944,1908736
2009-04-30,38.291016,38.779297,37.021484,37.382813,24.725658,2153779
2009-05-01,37.685547,38.476563,37.246094,37.744141,24.964647,923955
2009-05-04,38.251953,40.019531,38.193359,39.863281,26.366285,1907098
2009-05-05,38.369141,38.681641,37.734375,38.369141,25.378031,1706803
2009-05-06,38.310547,38.603516,37.304688,38.388672,25.390951,2994893
2009-05-07,38.281250,38.652344,36.201172,36.708984,24.279978,2767155
2009-05-08,39.306641,41.015625,39.003906,40.546875,26.818426,2240205
2009-05-11,39.765625,40.488281,39.755859,40.097656,26.521296,3376742
2009-05-12,40.830078,41.083984,38.535156,39.648438,26.224180,1909658
2009-05-13,37.441406,37.958984,36.738281,36.914063,24.415615,1622426
2009-05-14,38.183594,39.482422,37.988281,39.306641,25.998117,1576346
2009-05-15,39.335938,39.775391,37.812500,38.105469,25.203632,1481830
2009-05-18,39.179688,41.308594,39.013672,41.152344,27.218891,1426534
2009-05-19,41.699219,41.953125,41.123047,41.210938,27.257652,1348608
2009-05-20,42.001953,42.431641,40.869141,40.869141,27.031580,1795482
2009-05-21,41.289063,41.503906,40.185547,40.830078,27.005737,1567949
2009-05-22,41.650391,41.875000,40.908203,41.005859,27.122007,819302
2009-05-26,40.878906,42.724609,40.781250,42.636719,28.200684,1157632
2009-05-27,42.919922,43.173828,41.386719,41.611328,27.522474,1284608
2009-05-28,42.304688,42.597656,41.152344,42.568359,28.155468,1171046
2009-05-29,43.408203,43.955078,43.017578,43.779297,28.956408,1861222
2009-06-01,44.208984,45.214844,43.779297,44.541016,29.460218,1185485
2009-06-02,44.199219,45.390625,43.994141,45.136719,29.854223,2083635
2009-06-03,44.384766,44.677734,43.144531,43.564453,28.814306,2807910
2009-06-04,44.785156,45.791016,44.609375,45.585938,30.151358,1687347
2009-06-05,46.601563,46.630859,44.160156,44.599609,29.498980,1539277
2009-06-08,43.994141,44.501953,43.466797,44.033203,29.124342,1202586
2009-06-09,45.322266,45.361328,44.531250,45.214844,29.905905,1085235
2009-06-10,46.093750,46.162109,44.238281,44.912109,29.705667,855245
2009-06-11,46.308594,46.621094,45.800781,45.888672,30.351587,869274
2009-06-12,45.273438,45.742188,44.921875,45.498047,30.093220,777114
2009-06-15,44.296875,44.355469,42.470703,42.812500,28.316944,972390
2009-06-16,43.095703,43.593750,42.402344,42.529297,28.129637,1253376
2009-06-17,42.373047,42.402344,40.800781,41.689453,27.574142,856269
2009-06-18,42.265625,44.072266,41.953125,43.740234,28.930571,1325670
2009-06-19,43.798828,44.130859,43.203125,43.671875,28.885357,748134
2009-06-22,42.558594,42.587891,40.957031,40.957031,27.089706,1453670
2009-06-23,41.650391,42.177734,41.152344,41.992188,27.774384,768307
2009-06-24,43.105469,43.701172,42.197266,42.451172,28.077961,1190400
2009-06-25,40.927734,42.617188,40.927734,42.490234,28.103802,4193280
2009-06-26,43.066406,43.974609,42.871094,43.808594,28.975782,1855181
2009-06-29,44.208984,44.755859,43.662109,44.580078,29.486063,689869
2009-06-30,44.804688,44.980469,44.208984,44.658203,29.537729,827187
2009-07-01,44.580078,45.322266,44.511719,44.628906,29.518356,790016
2009-07-02,43.310547,43.535156,42.656250,42.734375,28.265280,535347
2009-07-06,42.265625,43.222656,42.167969,43.193359,28.568853,1090867
2009-07-07,43.359375,43.496094,42.021484,42.021484,27.793762,381133
2009-07-08,42.548828,42.753906,41.523438,41.972656,27.761469,2137293
2009-07-09,43.173828,43.818359,42.949219,43.427734,28.723879,867430
2009-07-10,42.441406,43.222656,42.373047,42.968750,28.420296,903475
2009-07-13,43.750000,44.775391,43.330078,44.775391,29.615238,1215283
2009-07-14,44.394531,44.541016,43.720703,44.267578,29.279364,913101
2009-07-15,45.732422,46.591797,45.507813,46.337891,30.648712,707789
2009-07-16,45.908203,46.943359,45.634766,46.552734,30.790813,580915
2009-07-17,45.576172,46.171875,45.322266,45.888672,30.351587,756736
2009-07-20,47.607422,47.753906,46.904297,47.207031,31.223572,1285018
2009-07-21,46.875000,46.875000,45.244141,45.664063,30.203026,895590
2009-07-22,45.449219,45.605469,44.697266,45.117188,29.841314,981914
2009-07-23,46.660156,47.558594,46.425781,46.845703,30.984587,1625088
2009-07-24,47.304688,47.607422,46.435547,47.197266,31.217115,769024
2009-07-27,46.503906,46.777344,45.566406,45.917969,30.370960,1028608
2009-07-28,44.013672,44.521484,43.828125,44.326172,29.318125,1120768
2009-07-29,44.648438,44.707031,43.457031,43.906250,29.040373,773018
2009-07-30,44.736328,45.117188,44.443359,44.677734,29.550650,699494
2009-07-31,45.966797,46.611328,45.625000,46.259766,30.597033,1029325
2009-08-03,47.470703,48.134766,47.177734,47.724609,31.565910,899482
2009-08-04,48.447266,49.433594,48.125000,49.033203,32.431431,1079194
2009-08-05,48.662109,48.925781,47.890625,48.798828,32.276409,912077
2009-08-06,49.648438,49.687500,48.066406,48.466797,32.056801,1126912
2009-08-07,48.710938,48.925781,47.382813,47.958984,31.720922,2178253
2009-08-10,47.802734,47.929688,46.533203,46.884766,31.010422,1405747
2009-08-11,47.031250,47.119141,46.250000,46.572266,30.803717,1181491
2009-08-12,47.099609,48.105469,46.992188,47.734375,31.572359,771584
2009-08-13,49.199219,49.697266,48.798828,49.609375,32.812523,1057997
2009-08-14,48.925781,48.974609,48.007813,48.925781,32.360382,884531
2009-08-17,46.650391,46.826172,46.035156,46.250000,30.590572,1258394
2009-08-18,47.529297,48.408203,47.353516,48.310547,31.953459,1038950
2009-08-19,47.011719,48.378906,46.933594,48.203125,31.882408,1314611
