objectId,cityId,name,country,countryCode,muni,featureCode,adminCode,population,createdAt,updatedAt,location.__type,location.latitude,location.longitude
aZIBJsCkY6,2657915,Zofingen,Switzerland,CH,4289,PPLA2,AG,11451,2019-12-12T19:05:24.781Z,2019-12-12T19:05:24.781Z,GeoPoint,47.28779,7.94586
3KhtRukfHS,2657891,Bad Zurzach,Switzerland,CH,4323,PPLA2,AG,4213,2019-12-12T19:05:24.781Z,2019-12-12T19:05:24.781Z,GeoPoint,47.58764,8.29365
BUA3bBhZ0m,2657947,Würenlos,Switzerland,CH,4048,PPL,AG,5497,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.44205,8.36261
xlhBBepaNG,2657948,Würenlingen,Switzerland,CH,4047,PPL,AG,3741,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.53356,8.25666
SckP2rY7qc,2657976,Windisch,Switzerland,CH,4123,PPL,AG,6689,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.47899,8.21842
Qpw8qsncIF,2657967,Wittnau,Switzerland,CH,4181,PPLA3,AG,1062,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.48139,7.97577
4EaKAbTLs0,2657963,Wohlen,Switzerland,CH,4082,PPL,AG,13875,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.35066,8.27517
8SwXqAlJZ5,2657959,Wölflinswil,Switzerland,CH,4182,PPLA3,AG,910,2019-12-12T19:05:25.617Z,2019-12-12T19:05:25.617Z,GeoPoint,47.4607,7.99835
jgJ2w3msks,2658011,Wettingen,Switzerland,CH,4021,PPL,AG,18191,2019-12-12T19:05:25.995Z,2019-12-12T19:05:25.995Z,GeoPoint,47.47049,8.31636
wXvKAYro11,2658039,Wegenstetten,Switzerland,CH,4262,PPL,AG,1080,2019-12-12T19:05:25.996Z,2019-12-12T19:05:25.996Z,GeoPoint,47.49797,7.93141
NIzMoVFodf,2658058,Waltenschwil,Switzerland,CH,4240,PPL,AG,2192,2019-12-12T19:05:26.450Z,2019-12-12T19:05:26.450Z,GeoPoint,47.33339,8.29791
cHsdMYOc1l,2658103,Vordemwald,Switzerland,CH,4287,PPL,AG,1661,2019-12-12T19:05:26.839Z,2019-12-12T19:05:26.839Z,GeoPoint,47.27585,7.90114
uABeVVVu98,2658119,Villmergen,Switzerland,CH,4080,PPL,AG,5489,2019-12-12T19:05:26.839Z,2019-12-12T19:05:26.839Z,GeoPoint,47.35009,8.24762
79ZOJyg0wv,2658118,Villnachern,Switzerland,CH,4122,PPL,AG,1473,2019-12-12T19:05:26.839Z,2019-12-12T19:05:26.839Z,GeoPoint,47.47098,8.15975
JhWCMHT5YD,2658120,Villigen,Switzerland,CH,4121,PPL,AG,1381,2019-12-12T19:05:26.839Z,2019-12-12T19:05:26.839Z,GeoPoint,47.52682,8.21486
XdPUWBxaJO,2658173,Veltheim,Switzerland,CH,4120,PPL,AG,1374,2019-12-12T19:05:27.130Z,2019-12-12T19:05:27.130Z,GeoPoint,47.43796,8.14722
geRqI2D1Za,2658237,Untersiggenthal,Switzerland,CH,4044,PPL,AG,6344,2019-12-12T19:05:27.570Z,2019-12-12T19:05:27.570Z,GeoPoint,47.50213,8.25554
