GemeindeNr;GemeindeName;Einwohner-2019;Einwohner-Veränderung-2010-2019;Bevölkerungsdichte-2019;Anteil-Ausländer-2019;Anteil-0bis19Jahre-2019;Anteil-20bis64Jahre-2019;Anteil-65Jahreundmehr-2019;Rohe-Heiratssziffer-2019;Rohe-Scheidungsziffer-2019;Rohe-Geburtenziffer-2019;Rohe-Sterbeziffer-2019;Privathaushalte-2019;Durchschnittliche-Haushaltsgrösse-inPersonen-2019;Gesamtfläche-2016;Anteil-Siedlungsfläche-2009;Veränderung-Siedlungsfläche-1979-2009;Anteil-Landwirtschaftsfläche-2009;Veränderung-Landwirtschaftsfläche-1979-2009;Anteil-WaldUndGehölze-2009;Anteil-UnproduktiveFläche2009;Beschäftigte-Total-2018;Beschäftigte-1Sektor-2018;Beschäftigte-2Sektor-2018;Beschäftigte-3Sektor-2018;Arbeitsstätten-Total-2018;Arbeitsstätten-1Sektor-2018;Arbeitsstätten-2Sektor-2018;Arbeitsstätten-3Sektor-2018;Leerwohnungsziffer-2020;NeugebauteWohnungen-pro1000Einwohner-2018;Sozialhilfequote-2019;Wähleranteile-FDP-2019;Wähleranteile-CVP-2019;Wähleranteile-SP-2019;Wähleranteile-SVP-2019;Wähleranteile-EVP/CSP-2019;Wähleranteile-GLP-2019;Wähleranteile-BDP-2019;Wähleranteile-PdA/Sol-2019;Wähleranteile-GPS-2019;Wähleranteile-Kleine-Rechtsparteien-2019
1;Aeugst am Albis;1981;8.6;250;14.2;19.8;62.2;18;7.1;2;9.1;6.6;848;2.3;7.9;12.7;21;51.1;-22;30.9;5.3;442;39;25;378;141;15;16;110;5.29;13.9;1;16.4;2.5;11.6;30.4;3.2;14.3;1.3;0.2;15.1;3.8
2;Affoltern am Albis;12303;10.9;1162;28.7;20.2;61.7;18.2;5.5;1.8;12.9;9.2;5412;2.2;10.6;30.7;92;40.2;-93;28.2;0.9;6920;47;1307;5566;995;23;134;838;1.01;3.8;3;13.4;4.5;14.6;30.3;6.6;12.7;2;0.2;12.6;1.6
3;Bonstetten;5572;8;750;16.6;23.6;59.8;16.5;4.3;1.8;9.9;4.3;2327;2.4;7.4;15.5;24;55.5;-21;28.6;0.4;1014;34;111;869;281;14;26;241;1.17;0.2;1.5;15.4;3.9;16.7;26.1;4.2;16.2;1.3;0.2;12.4;1.4
4;Hausen am Albis;3751;11.6;276;16;22.2;59.8;18;3.2;1.6;8.6;3.8;1552;2.4;13.6;12.7;33;55.9;-31;28.8;2.6;1021;93;136;792;271;36;38;197;0.63;3;1.2;11.1;3.9;13.7;33.2;4.1;12.4;1.6;0.2;16.7;1.6
5;Hedingen;3778;10.8;579;16.4;21.6;61.6;16.7;3.7;2.1;7.5;6.4;1580;2.4;6.5;19.8;44;46.3;-43;33.2;0.6;1478;29;679;770;201;11;26;164;0.96;3.2;1.5;14;3.9;16.7;26.6;3.7;16.4;1.9;0.2;12.3;2.2
6;Kappel am Albis;1221;33;154;17.5;25;61.2;13.8;3.4;0;10.1;5;493;2.5;7.9;8.3;12;69.9;-12;20.6;1.2;319;56;81;182;101;21;24;56;2.18;37.3;0.7;10.9;5.5;9.1;43.6;4.5;10.9;1.3;0;10.2;1.6
7;Knonau;2378;32.1;368;18.3;24.3;61;14.7;3.4;0.8;12.6;8.4;927;2.6;6.5;18;19;62.2;-21;17.1;2.6;566;55;108;403;133;24;15;94;0.59;5.6;0.8;9.2;5.3;11.4;32.3;6.9;17.3;2.7;0.1;11.3;2.2
8;Maschwanden;645;4.7;138;12.9;22;59.5;18.4;3.1;0;6.1;7.7;274;2.4;4.7;9;-5;59.6;0;23.7;7.7;175;49;49;77;67;18;7;42;2.99;0;X;3.3;2.6;16.9;44.5;3.4;12.3;2.9;0.1;10;3
9;Mettmenstetten;5200;22.6;399;14.8;23.1;59.2;17.7;5.1;2.3;13.8;4.7;2097;2.4;13;16;65;64.3;-70;18.6;1.1;1680;148;545;987;319;51;58;210;1.33;18.2;1.6;11.8;3.6;15.4;31.2;4.7;14.6;1.4;0.4;11.8;3.9
10;Obfelden;5721;22.1;759;21.5;23.6;59.6;16.8;4.9;1.9;12.2;6;2341;2.4;7.5;24.3;46;49.1;-44;21.4;5.2;1252;51;310;891;307;17;60;230;2.15;7.3;2.6;11.5;6.4;14.6;33.7;5.3;14.6;1.8;0.1;8.5;2.2
11;Ottenbach;2588;7.4;516;13.1;20.2;58.5;21.4;5.1;3.1;7.4;6.6;1128;2.3;5;20.8;20;54.7;-19;20.4;4.2;683;38;237;408;175;14;33;128;1.14;7.8;1.1;13.1;3.6;13.7;32.3;3.9;16.8;2.9;0.2;10.7;1.8
12;Rifferswil;1129;25.4;173;10.7;27.1;56.2;16.7;2.7;0.9;7.1;5.3;456;2.5;6.5;10.3;10;64.9;-10;22.6;2.1;250;42;72;136;87;17;16;54;1.18;0.9;0.6;6.9;3.6;14.8;26.8;7.1;12.7;1.2;0.3;21.6;3.3
13;Stallikon;3755;18.8;312;22.3;21.4;62.4;16.3;4.6;0.8;9.7;6.7;1554;2.4;12;11.1;45;38;-41;49.8;1.1;775;38;155;582;189;15;25;149;1.13;0.5;1.1;14.7;4.6;14.3;35.6;1.8;15.7;1;0.1;10.6;0.2
14;Wettswil am Albis;5240;16;1390;17.1;23.5;56.3;20.2;6.1;1.9;8.1;5.4;2163;2.4;3.8;41.1;55;34.1;-53;20.5;4.3;1302;15;452;835;293;7;36;250;0.31;1.8;1.7;22.1;4.7;12.3;28.4;2;17.1;1.7;0.1;9.3;1.2
21;Adlikon;698;21;106;10.6;21.2;60;18.8;7.1;2.8;10;2.8;274;2.5;6.6;10.9;10;63.9;-12;22.7;2.6;149;49;24;76;65;22;6;37;0.34;21.1;X;9.4;1.3;6.1;56.5;6.7;6.4;3.9;0;6.8;2.9
22;Benken (ZH);845;5.9;149;12.8;20.4;63.4;16.2;3.5;0;11.8;4.7;362;2.3;5.7;8.1;6;57.5;-9;34;0.4;249;83;42;124;69;19;10;40;1;0;0.9;9.8;2.8;10.5;46.6;1.2;9.3;4.2;0.1;12.1;2.6
23;Berg am Irchel;577;-3.7;82;8.8;14.2;61.7;24.1;5.2;1.7;8.7;8.7;257;2.2;7;5;7;48.1;-10;45.4;1.6;137;46;22;69;47;16;9;22;2.04;1.8;1.2;7.3;1.1;6.2;52.7;2.2;15.1;3.5;0.5;8.1;2.9
24;Buch am Irchel;979;12.8;96;7.3;24.6;60.1;15.3;6.1;1;7.2;5.1;387;2.5;10.2;6.9;9;55.1;-8;38;0;200;72;38;90;74;24;7;43;1.19;3.1;X;13.2;2.5;4.9;48.6;4.2;12.2;3.2;0;6.4;4.5
25;Dachsen;1916;-1.2;710;13.3;21.1;58;20.9;3.1;1;7.3;6.3;789;2.4;2.7;32.1;17;48.3;-16;12.5;7.2;455;18;159;278;104;6;25;73;2.44;1.5;0.6;10.5;5;15.1;30.3;3.9;12.8;2;0.1;17.1;2
26;Dorf;658;4.1;118;9.9;21.6;61.7;16.7;7.6;1.5;7.6;10.6;258;2.5;5.6;12.5;52;46.4;-53;41;0.2;129;27;19;83;51;11;7;33;2.07;0;X;9.7;2;9.8;48.9;4.4;11.1;0.8;0.1;3.9;8.4
27;Feuerthalen;3614;3.6;1457;22.5;20.2;62.1;17.7;5.8;1.4;12.7;7.2;1626;2.2;2.5;42.8;14;11.2;-16;44;2;1165;5;277;883;X;X;33;161;2.27;4.7;2.6;9.1;5.2;18.7;31.5;3.3;14.3;2.3;0.1;11.9;1.8
28;Flaach;1420;15.7;140;15.4;21.2;61.6;17.2;0.7;2.1;10.6;8.5;592;2.4;10.2;8.3;10;50.9;-15;33.7;7.1;809;153;146;510;138;27;24;87;4.22;5;X;9.9;1.6;8.9;48.3;6.5;8.5;0.8;0;9.1;5.2
29;Flurlingen;1477;3.4;613;14.2;20.5;61.7;17.7;6.9;2.1;12.3;7.5;633;2.3;2.4;22.8;14;17;-16;56.4;3.7;X;X;128;308;X;X;18;83;1.44;7.6;0.9;15.4;5;16.7;25.1;2;14.5;2.1;0.3;15.3;0.8
30;Andelfingen;2247;20.8;333;13.4;23.4;57.2;19.4;1.8;2.7;9;5.4;919;2.4;6.7;15.8;18;46;-15;33;5.2;1551;56;672;823;195;13;34;148;0.69;0;2.1;15.4;2.7;10.6;31.2;5.7;14.9;4;0;11.9;2.4
