GemeindeNr;GemeindeName;Einwohner-2019;Einwohner-Veränderung-2010-2019;Bevölkerungsdichte-2019;Anteil-Ausländer-2019;Anteil-Einwohner-0bis19Jahre-2019;Anteil-Einwohner-20bis64Jahre-2019;Anteil-Einwohner-65JahreUndmehr-2019;Rohe-Heiratssziffer-2019;Rohe-Scheidungsziffer-2019;Rohe-Geburtenziffer-2019;Rohe-Sterbeziffer-2019;Anzahl-Privathaushalte-2019;Durchschnittliche-Haushaltsgrösse-inPers-2019;Gesamtfläche-2016;Anteil-Siedlungsfläche-2009;Veränderung-inha-1979-2009;Anteil-Landwirtschaftsfläche-2009;Veränderung-inha-1979/1985/2004/2009.1;Anteil-WaldUndGehölze-2009;Anteil-UnproduktiveFläche-2009;Beschäftigte-Total-2018;Beschäftigte-1Sektor-2018;Beschäftigte-2Sektor-2018;Beschäftigte-3Sektor-2018;Arbeitsstätten-Total-2018;Arbeitsstätten-1Sektor-2018;Arbeitsstätten-2Sektor-2018;Arbeitsstätten-3Sektor-2018;Leerwohnungsziffer-2020;NeugebauteWohnungen-pro1000Einw-2018;Sozialhilfequote-2019
1;Aeugst am Albis;1981;8.6;250;14.2;19.8;62.2;18.0;7.1;2.0;9.1;6.6;848;2.3;7.9;12.7;21;51.1;-22;30.9;5.3;442.0;39.0;25.0;378.0;141.0;15.0;16.0;110.0;5.29;13.9;1.0
2;Affoltern am Albis;12303;10.9;1162;28.7;20.2;61.7;18.2;5.5;1.8;12.9;9.2;5412;2.2;10.6;30.7;92;40.2;-93;28.2;0.9;6920.0;47.0;1307.0;5566.0;995.0;23.0;134.0;838.0;1.01;3.8;3.0
3;Bonstetten;5572;8.0;750;16.6;23.6;59.8;16.5;4.3;1.8;9.9;4.3;2327;2.4;7.4;15.5;24;55.5;-21;28.6;0.4;1014.0;34.0;111.0;869.0;281.0;14.0;26.0;241.0;1.17;0.2;1.5
4;Hausen am Albis;3751;11.6;276;16.0;22.2;59.8;18.0;3.2;1.6;8.6;3.8;1552;2.4;13.6;12.7;33;55.9;-31;28.8;2.6;1021.0;93.0;136.0;792.0;271.0;36.0;38.0;197.0;0.63;3.0;1.2
5;Hedingen;3778;10.8;579;16.4;21.6;61.6;16.7;3.7;2.1;7.5;6.4;1580;2.4;6.5;19.8;44;46.3;-43;33.2;0.6;1478.0;29.0;679.0;770.0;201.0;11.0;26.0;164.0;0.96;3.2;1.5
6;Kappel am Albis;1221;33.0;154;17.5;25.0;61.2;13.8;3.4;0.0;10.1;5.0;493;2.5;7.9;8.3;12;69.9;-12;20.6;1.2;319.0;56.0;81.0;182.0;101.0;21.0;24.0;56.0;2.18;37.3;0.7
7;Knonau;2378;32.1;368;18.3;24.3;61.0;14.7;3.4;0.8;12.6;8.4;927;2.6;6.5;18.0;19;62.2;-21;17.1;2.6;566.0;55.0;108.0;403.0;133.0;24.0;15.0;94.0;0.59;5.6;0.8
8;Maschwanden;645;4.7;138;12.9;22.0;59.5;18.4;3.1;0.0;6.1;7.7;274;2.4;4.7;9.0;-5;59.6;0;23.7;7.7;175.0;49.0;49.0;77.0;67.0;18.0;7.0;42.0;2.99;0.0;
9;Mettmenstetten;5200;22.6;399;14.8;23.1;59.2;17.7;5.1;2.3;13.8;4.7;2097;2.4;13.0;16.0;65;64.3;-70;18.6;1.1;1680.0;148.0;545.0;987.0;319.0;51.0;58.0;210.0;1.33;18.2;1.6
10;Obfelden;5721;22.1;759;21.5;23.6;59.6;16.8;4.9;1.9;12.2;6.0;2341;2.4;7.5;24.3;46;49.1;-44;21.4;5.2;1252.0;51.0;310.0;891.0;307.0;17.0;60.0;230.0;2.15;7.3;2.6
