GemeindeNr;GemeindeName;KantonsKürzel;OrtschaftsName;PLZ;PLZZusatzziffer;LatWGS84;LongWGS84
1;Aeugst am Albis;ZH;Aeugst am Albis;8914;0;47.26870659372531;8.487911353897033
1;Aeugst am Albis;ZH;Aeugstertal;8914;2;47.28270771355741;8.49363930090502
2;Affoltern am Albis;ZH;Zwillikon;8909;0;47.28957191102536;8.433816382206734
2;Affoltern am Albis;ZH;Affoltern am Albis;8910;0;47.27879101855457;8.454392390338276
3;Bonstetten;ZH;Bonstetten;8906;0;47.31603645328917;8.462510333365264
4;Hausen am Albis;ZH;Sihlbrugg;6340;4;47.221166984565386;8.575173951552003
4;Hausen am Albis;ZH;Langnau am Albis;8135;0;47.2661624930981;8.522602732801188
4;Hausen am Albis;ZH;Hausen am Albis;8915;0;47.24868312064546;8.533080372257203
4;Hausen am Albis;ZH;Ebertswil;8925;0;47.2279094397361;8.5533878200836
5;Hedingen;ZH;Hedingen;8908;0;47.30233830626068;8.450402732204708
6;Kappel am Albis;ZH;Kappel am Albis;8926;0;47.22850464577662;8.518401270269894
6;Kappel am Albis;ZH;Hauptikon;8926;2;47.2325473504807;8.494435214349895
6;Kappel am Albis;ZH;Uerzlikon;8926;3;47.21811360803896;8.499050491000277
7;Knonau;ZH;Knonau;8934;0;47.22429179177682;8.46307051441384
8;Maschwanden;ZH;Maschwanden;8933;0;47.23566580708591;8.430865808186903
9;Mettmenstetten;ZH;Mettmenstetten;8932;0;47.24873640804126;8.46621230089291
10;Obfelden;ZH;Affoltern am Albis;8910;0;47.27137607268962;8.43856623125508
10;Obfelden;ZH;Obfelden;8912;0;47.26039751720163;8.422386633621775
11;Ottenbach;ZH;Ottenbach;8913;0;47.28107503118464;8.40857483952707
12;Rifferswil;ZH;Rifferswil;8911;0;47.2455005703472;8.49488717954399
13;Stallikon;ZH;Adliswil;8134;0;47.312105292377176;8.505877599121481
13;Stallikon;ZH;Stallikon;8143;0;47.32971316329592;8.489620691180106
13;Stallikon;ZH;Uetliberg;8143;2;47.34851183906554;8.491735690425953
14;Wettswil am Albis;ZH;Wettswil;8907;0;47.33740220379512;8.470612514895661
22;Benken (ZH);ZH;Benken ZH;8463;0;47.65377796453926;8.6546665443761
23;Berg am Irchel;ZH;Berg am Irchel;8415;0;47.56297524839231;8.585741053409775
23;Berg am Irchel;ZH;Gräslikon;8415;1;47.55600242588506;8.605113275178551
24;Buch am Irchel;ZH;Buch am Irchel;8414;0;47.55047880740978;8.625154489270875
25;Dachsen;ZH;Dachsen;8447;0;47.66174994439217;8.62437529265555
26;Dorf;ZH;Dorf;8458;0;47.57127196518884;8.649329747554424
27;Feuerthalen;ZH;Feuerthalen;8245;0;47.68902348210105;8.644166019703103
27;Feuerthalen;ZH;Langwiesen;8246;0;47.683352837853526;8.662656729467987
28;Flaach;ZH;Flaach;8416;0;47.58340200103113;8.601940328074585
29;Flurlingen;ZH;Flurlingen;8247;0;47.68360382819433;8.635510082795259
31;Henggart;ZH;Henggart;8444;0;47.56038766434141;8.680830542009392
33;Kleinandelfingen;ZH;Kleinandelfingen;8451;0;47.60679239080899;8.684949094724566
33;Kleinandelfingen;ZH;Alten;8453;0;47.5969026253161;8.6408655726822
33;Kleinandelfingen;ZH;Oerlingen;8461;0;47.623230236077504;8.67758517670294
34;Laufen-Uhwiesen;ZH;Nohl;8212;4;47.66327005774497;8.610294829300658
34;Laufen-Uhwiesen;ZH;Uhwiesen;8248;0;47.66931256184877;8.650169370369927
34;Laufen-Uhwiesen;ZH;Dachsen;8447;0;47.67559684255742;8.613741920484175
35;Marthalen;ZH;Marthalen;8460;0;47.61833178451764;8.638588343780638
35;Marthalen;ZH;Ellikon am Rhein;8464;0;47.60219071161702;8.606011200222241
37;Ossingen;ZH;Trüllikon;8466;0;47.62522368255119;8.689871285180535
37;Ossingen;ZH;Ossingen;8475;0;47.611326413383175;8.721858087363344
38;Rheinau;ZH;Rheinau;8462;0;47.62764125821086;8.618020226102411
38;Rheinau;ZH;Ellikon am Rhein;8464;0;47.60357981702725;8.60869713052077
39;Thalheim an der Thur;ZH;Thalheim an der Thur;8478;0;47.58200511454425;8.745260537176247
40;Trüllikon;ZH;Rudolfingen;8465;0;47.638124960871046;8.67126389044434
40;Trüllikon;ZH;Wildensbuch;8465;1;47.65096027127287;8.679796274432071
40;Trüllikon;ZH;Trüllikon;8466;0;47.63630001246772;8.700218444133899
41;Truttikon;ZH;Truttikon;8467;0;47.632404074948106;8.729610675307633
43;Volken;ZH;Volken;8459;0;47.576626097052674;8.631466247894725
51;Bachenbülach;ZH;Bülach;8180;0;47.51030825306576;8.564421710325043
51;Bachenbülach;ZH;Bachenbülach;8184;0;47.50111302190842;8.545321773119092
52;Bassersdorf;ZH;Bassersdorf;8303;0;47.4402100983521;8.625925501129752
53;Bülach;ZH;Bülach;8180;0;47.5306641421757;8.545629418621214
53;Bülach;ZH;Glattfelden;8192;0;47.54902720818704;8.52455019230342
54;Dietlikon;ZH;Dietlikon;8305;0;47.42487908802865;8.612448140803883
54;Dietlikon;ZH;Dübendorf;8600;0;47.40826693865088;8.624613634755821
55;Eglisau;ZH;Eglisau;8193;0;47.572341058122106;8.523048290367122
55;Eglisau;ZH;Rafz;8197;0;47.59116463049643;8.541636227917143
56;Embrach;ZH;Embrach;8424;0;47.51005354544071;8.59959942428601
57;Freienstein-Teufen;ZH;Freienstein;8427;2;47.53250053780222;8.596010573919898
