FID,FID_1,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,COUNT_,POPULATION,WOMEN,WMN_REPRO,ISO2,Region,Continent,UN_Region,UN_SubRegi,Shape__Area,Shape__Length,Independent_Midwives
1,0,CHE,Switzerland,CHE.1_1,Aargau,Argovia|Arg¢via|Argovie,,Canton|Kanton|Chantun,Canton,,CH.AG,221918,667746.534717,316125.800629,152928.938456,CH,EURO,Europe,Western Europe,Western Europe,0.164567069362988,3.02717982676862,272
2,2,CHE,Switzerland,CHE.3_1,Appenzell Innerrhoden,Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno,,Canton|Kanton|Chantun,Canton,,CH.AI,11097,17608.7103693,8415.253126,3993.94384,CH,EURO,Europe,Western Europe,Western Europe,0.0206757684846082,0.864318242867597,51
3,5,CHE,Switzerland,CHE.6_1,Bern,Berna|Berne,,Canton|Kanton|Chantun,Canton,,CH.BE,417215,1018964.94702,513876.513012,234761.580436,CH,EURO,Europe,Western Europe,Western Europe,0.705259235320398,7.22081307926076,355
4,8,CHE,Switzerland,CHE.9_1,Glarus,Glaris|Glarona|Glaruna,,Canton|Kanton|Chantun,Canton,,CH.GL,23133,38979.2022898,19283.638029,8939.393085,CH,EURO,Europe,Western Europe,Western Europe,0.0819166243748839,1.53997263344744,23
5,11,CHE,Switzerland,CHE.12_1,Lucerne,Lucerna|Luzern,,Canton|Kanton|Chantun,Canton,,CH.LU,138957,412524.130535,200486.181583,98606.185688,CH,EURO,Europe,Western Europe,Western Europe,0.18203149667238,2.77231243707345,183
6,14,CHE,Switzerland,CHE.15_1,Obwalden,Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania,,Canton|Kanton|Chantun,Canton,,CH.OW,23647,38956.746954,18431.318403,9003.799145,CH,EURO,Europe,Western Europe,Western Europe,0.0558983002241007,1.55249255378019,27
7,17,CHE,Switzerland,CHE.18_1,Schwyz, ,,Canton|Kanton|Chantun,Canton,,CH.SZ,63061,161325.181684,74454.056354,36596.290515,CH,EURO,Europe,Western Europe,Western Europe,0.104699998943204,1.93535811703109,94
8,20,CHE,Switzerland,CHE.21_1,Ticino,Tesino|Tessin,,Canton|Kanton|Chantun,Canton,,CH.TI,155553,356123.193624,176932.633717,79077.101073,CH,EURO,Europe,Western Europe,Western Europe,0.331380928489665,3.31870596162246,70
9,23,CHE,Switzerland,CHE.24_1,Vaud,Vad|Waadt|Waadtland,,Canton|Kanton|Chantun,Canton,,CH.VD,259600,829076.343316,395519.193295,192754.90183,CH,EURO,Europe,Western Europe,Western Europe,0.376268209661532,5.78003457452268,245
10,1,CHE,Switzerland,CHE.2_1,Appenzell Ausserrhoden,Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno,,Canton|Kanton|Chantun,Canton,,CH.AR,32447,52011.6373647,26075.546348,11837.222237,CH,EURO,Europe,Western Europe,Western Europe,0.0296622249841789,1.42376467856128,25
