Country;Women_Total;Women_Under21;Women_20to65;Women_Over65;Men_Total;Men_Under21;Men_20to65;Men_Over65;Pop2022_Total;Pop2022_Under21;Pop2022_20to65;Pop2022_Over65
Austria;4.595.563,0 ;850.390,0 ;2.751.152,0 ;994.021,0 ;4.457.293,0 ;900.629,0 ;2.785.135,0 ;771.529,0 ;9.052.856,0 ;1.751.019,0 ;5.536.287,0 ;1.765.550,0 
Belgium;5.905.629,0 ;1.263.451,0 ;3.370.779,0 ;1.271.399,0 ;5.735.159,0 ;1.322.841,0 ;3.393.655,0 ;1.018.663,0 ;11.640.788,0 ;2.586.292,0 ;6.764.434,0 ;2.290.062,0 
Czechia;5.480.948,0 ;1.112.902,0 ;3.094.060,0 ;1.273.986,0 ;5.278.577,0 ;1.163.176,0 ;3.193.513,0 ;921.888,0 ;10.759.525,0 ;2.276.078,0 ;6.287.573,0 ;2.195.874,0 
Denmark;2.972.656,0 ;631.171,0 ;1.692.027,0 ;649.458,0 ;2.937.921,0 ;664.356,0 ;1.717.394,0 ;556.171,0 ;5.910.577,0 ;1.295.527,0 ;3.409.421,0 ;1.205.629,0 
Estonia;708.449,0 ;141.490,0 ;388.988,0 ;177.971,0 ;640.391,0 ;148.721,0 ;395.341,0 ;96.329,0 ;1.348.840,0 ;290.211,0 ;784.329,0 ;274.300,0 
Finland;2.807.818,0 ;562.720,0 ;1.528.118,0 ;716.980,0 ;2.748.290,0 ;588.669,0 ;1.589.826,0 ;569.795,0 ;5.556.108,0 ;1.151.389,0 ;3.117.944,0 ;1.286.775,0 
France;35.071.292,0 ;7.828.497,0 ;19.104.175,0 ;8.138.620,0 ;32.871.298,0 ;8.221.135,0 ;18.446.287,0 ;6.203.876,0 ;67.942.590,0 ;16.049.632,0 ;37.550.462,0 ;14.342.496,0 
Germany;42.485.066,0 ;7.598.273,0 ;24.499.395,0 ;10.387.398,0 ;41.312.921,0 ;8.049.221,0 ;25.102.835,0 ;8.160.865,0 ;83.797.987,0 ;15.647.494,0 ;49.602.230,0 ;18.548.263,0 
Greece;5.280.054,0 ;927.965,0 ;3.037.363,0 ;1.314.726,0 ;5.081.216,0 ;986.626,0 ;3.047.235,0 ;1.047.355,0 ;10.361.270,0 ;1.914.591,0 ;6.084.598,0 ;2.362.081,0 
Hungary;5.011.231,0 ;926.315,0 ;2.860.894,0 ;1.224.022,0 ;4.631.817,0 ;977.831,0 ;2.893.172,0 ;760.814,0 ;9.643.048,0 ;1.904.146,0 ;5.754.066,0 ;1.984.836,0 
