Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Switzerland,CHE,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,14993.783
Switzerland,CHE,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,15024.369
Switzerland,CHE,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,15055.158
Switzerland,CHE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,15085.727
Switzerland,CHE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,15116.339
Switzerland,CHE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,15147.463
Switzerland,CHE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,15180.055
Switzerland,CHE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,15212.778
Switzerland,CHE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,15245.633
Switzerland,CHE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,15278.375
Switzerland,CHE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,15311.226
Switzerland,CHE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,15344.107
Switzerland,CHE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,15376.983
Switzerland,CHE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,15410.273
Switzerland,CHE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,15443.686
Switzerland,CHE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,15474.187
Switzerland,CHE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,15504.631
Switzerland,CHE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,15535.559
Switzerland,CHE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,15566.689
Switzerland,CHE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,15597.256
Switzerland,CHE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,15627.446
Switzerland,CHE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,15658.165
Switzerland,CHE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,15688.881
Switzerland,CHE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,15721.444
Switzerland,CHE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,15752.201
Switzerland,CHE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,15783.105
Switzerland,CHE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,15820.57
Switzerland,CHE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,15867.503
Switzerland,CHE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,15914.576
Switzerland,CHE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,15961.788
Switzerland,CHE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,16009.14
Switzerland,CHE,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,16050.303
Switzerland,CHE,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,16104.266
Switzerland,CHE,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,16152.041
Switzerland,CHE,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,16199.958
Switzerland,CHE,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,16248.017
Switzerland,CHE,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,16290.524
Switzerland,CHE,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,16344.562
Switzerland,CHE,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,16393.05
Switzerland,CHE,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,16441.394
Switzerland,CHE,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,16489.882
Switzerland,CHE,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,16533.566
Switzerland,CHE,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,16587.287
Switzerland,CHE,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,16449
Switzerland,CHE,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,16414
Switzerland,CHE,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,16426
Switzerland,CHE,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,16438
Switzerland,CHE,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,16475
Switzerland,CHE,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,16537
Switzerland,CHE,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,16628
Switzerland,CHE,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,16654
Switzerland,CHE,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,16739
