Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Switzerland,CHE,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,38.4148393950861
Switzerland,CHE,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,36.805008175699
Switzerland,CHE,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,35.1048073007689
Switzerland,CHE,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,38.4757179395541
Switzerland,CHE,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,38.5895044423507
Switzerland,CHE,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,37.9491181027282
Switzerland,CHE,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,36.7156931345261
Switzerland,CHE,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,35.5247875897603
Switzerland,CHE,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,35.4017667547781
Switzerland,CHE,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.73737790793
Switzerland,CHE,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.5992583009014
Switzerland,CHE,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.1905331720634
Switzerland,CHE,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.7728231412009
Switzerland,CHE,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.6103942761423
Switzerland,CHE,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.9031912094183
Switzerland,CHE,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.6379796667922
Switzerland,CHE,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,30.770318319783
Switzerland,CHE,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,30.7843326150198
Switzerland,CHE,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.3124019787737
Switzerland,CHE,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.3042507991746
Switzerland,CHE,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.5995253449013
Switzerland,CHE,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.2575322207247
Switzerland,CHE,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.7387242559197
Switzerland,CHE,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.6852536145324
Switzerland,CHE,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.580964810293
Switzerland,CHE,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.0759922952559
