Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Switzerland,CHE,2022,Control of Corruption: Estimate,CC.EST,2.0093138217926
Switzerland,CHE,2021,Control of Corruption: Estimate,CC.EST,1.95900893211365
Switzerland,CHE,2020,Control of Corruption: Estimate,CC.EST,2.04560995101929
Switzerland,CHE,2019,Control of Corruption: Estimate,CC.EST,1.94505643844604
Switzerland,CHE,2018,Control of Corruption: Estimate,CC.EST,1.96951818466187
Switzerland,CHE,2017,Control of Corruption: Estimate,CC.EST,1.94451439380646
Switzerland,CHE,2016,Control of Corruption: Estimate,CC.EST,1.94263672828674
Switzerland,CHE,2015,Control of Corruption: Estimate,CC.EST,2.09469723701477
Switzerland,CHE,2014,Control of Corruption: Estimate,CC.EST,2.147784948349
Switzerland,CHE,2013,Control of Corruption: Estimate,CC.EST,2.12483501434326
Switzerland,CHE,2012,Control of Corruption: Estimate,CC.EST,2.13839817047119
Switzerland,CHE,2011,Control of Corruption: Estimate,CC.EST,2.0290699005127
Switzerland,CHE,2010,Control of Corruption: Estimate,CC.EST,2.06414246559143
Switzerland,CHE,2009,Control of Corruption: Estimate,CC.EST,2.06019997596741
Switzerland,CHE,2008,Control of Corruption: Estimate,CC.EST,2.10857200622559
Switzerland,CHE,2007,Control of Corruption: Estimate,CC.EST,2.14034938812256
Switzerland,CHE,2006,Control of Corruption: Estimate,CC.EST,2.08340835571289
Switzerland,CHE,2005,Control of Corruption: Estimate,CC.EST,2.01012587547302
Switzerland,CHE,2004,Control of Corruption: Estimate,CC.EST,1.98526263237
Switzerland,CHE,2003,Control of Corruption: Estimate,CC.EST,2.01248097419739
Switzerland,CHE,2002,Control of Corruption: Estimate,CC.EST,2.05901455879211
Switzerland,CHE,2000,Control of Corruption: Estimate,CC.EST,2.04835367202759
Switzerland,CHE,1998,Control of Corruption: Estimate,CC.EST,2.05191779136658
Switzerland,CHE,1996,Control of Corruption: Estimate,CC.EST,1.98697578907013
Switzerland,CHE,2022,Control of Corruption: Number of Sources,CC.NO.SRC,7
Switzerland,CHE,2021,Control of Corruption: Number of Sources,CC.NO.SRC,7
Switzerland,CHE,2020,Control of Corruption: Number of Sources,CC.NO.SRC,7
Switzerland,CHE,2019,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2018,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2017,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2016,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2015,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2014,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2013,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2012,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2011,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2010,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2009,Control of Corruption: Number of Sources,CC.NO.SRC,9
Switzerland,CHE,2008,Control of Corruption: Number of Sources,CC.NO.SRC,8
Switzerland,CHE,2007,Control of Corruption: Number of Sources,CC.NO.SRC,8
Switzerland,CHE,2006,Control of Corruption: Number of Sources,CC.NO.SRC,8
Switzerland,CHE,2005,Control of Corruption: Number of Sources,CC.NO.SRC,7
Switzerland,CHE,2004,Control of Corruption: Number of Sources,CC.NO.SRC,7
Switzerland,CHE,2003,Control of Corruption: Number of Sources,CC.NO.SRC,6
Switzerland,CHE,2002,Control of Corruption: Number of Sources,CC.NO.SRC,6
Switzerland,CHE,2000,Control of Corruption: Number of Sources,CC.NO.SRC,6
Switzerland,CHE,1998,Control of Corruption: Number of Sources,CC.NO.SRC,6
Switzerland,CHE,1996,Control of Corruption: Number of Sources,CC.NO.SRC,6
Switzerland,CHE,2022,Control of Corruption: Percentile Rank,CC.PER.RNK,97.1698150634766
Switzerland,CHE,2021,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6666641235352
Switzerland,CHE,2020,Control of Corruption: Percentile Rank,CC.PER.RNK,97.1428604125977
Switzerland,CHE,2019,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6666641235352
Switzerland,CHE,2018,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6666641235352
Switzerland,CHE,2017,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6666641235352
Switzerland,CHE,2016,Control of Corruption: Percentile Rank,CC.PER.RNK,95.7142868041992
Switzerland,CHE,2015,Control of Corruption: Percentile Rank,CC.PER.RNK,97.6190490722656
Switzerland,CHE,2014,Control of Corruption: Percentile Rank,CC.PER.RNK,98.0769195556641
Switzerland,CHE,2013,Control of Corruption: Percentile Rank,CC.PER.RNK,97.6303329467773
Switzerland,CHE,2012,Control of Corruption: Percentile Rank,CC.PER.RNK,97.6303329467773
Switzerland,CHE,2011,Control of Corruption: Percentile Rank,CC.PER.RNK,95.7345962524414
Switzerland,CHE,2010,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6666641235352
Switzerland,CHE,2009,Control of Corruption: Percentile Rank,CC.PER.RNK,97.1291885375977
Switzerland,CHE,2008,Control of Corruption: Percentile Rank,CC.PER.RNK,97.0873794555664
Switzerland,CHE,2007,Control of Corruption: Percentile Rank,CC.PER.RNK,96.6019439697266
Switzerland,CHE,2006,Control of Corruption: Percentile Rank,CC.PER.RNK,96.5853652954102
Switzerland,CHE,2005,Control of Corruption: Percentile Rank,CC.PER.RNK,97.0731735229492
Switzerland,CHE,2004,Control of Corruption: Percentile Rank,CC.PER.RNK,96.0591125488281
Switzerland,CHE,2003,Control of Corruption: Percentile Rank,CC.PER.RNK,96.8253936767578
Switzerland,CHE,2002,Control of Corruption: Percentile Rank,CC.PER.RNK,95.7671966552734
