"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
10784,"HH%U4212fd_HHC15to24","15 to 24 years","HHU4212fd_HHTotalIndividual","%",10,"ALB","Albania","99.5307",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 15 to 24 years"
10787,"HH%U4212fd_HHC25to74","25 to 74 years","HHU4212fd_HHTotalIndividual","%",10,"ALB","Albania","98.3887",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 25 to 74 years"
10865,"HH%U4212fm_HHC25to74","25 to 74 years","HHU4212fm_HHTotalIndividual","%",10,"ALB","Albania","0.261204",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: 25 to 74 years"
10861,"HH%U4212fd_HHTotalIndividual","At least once a day","","%",10,"ALB","Albania","98.6005",2022,"","Institute of Statistics","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10939,"HH%U4212fm_HHTotalIndividual","Less than once a week","","%",10,"ALB","Albania","0.21277",2022,"","Institute of Statistics","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10914,"HH%U4212fm_HHCMale","Male","HHU4212fm_HHTotalIndividual","%",10,"ALB","Albania","0.161193",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Male"
10868,"HH%U4212fm_HHCFemale","Female","HHU4212fm_HHTotalIndividual","%",10,"ALB","Albania","0.264305",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Female"
9224,"HH%U4212_HHC15to24","15 to 24 years","i99H","%",10,"ALB","Albania","96.5399",2022,"","Institute of Statistics","Individuals using the Internet (from any location): 15 to 24 years"
9227,"HH%U4212_HHC25to74","25 to 74 years","i99H","%",10,"ALB","Albania","79.9871",2022,"","Institute of Statistics","Individuals using the Internet (from any location): 25 to 74 years"
16778,"HH%U422l_HHC15to24","15 to 24 years","HHU422l_HHTotalIndividual","%",10,"ALB","Albania","43.4943",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Laptop computer: 15 to 24 years"
16781,"HH%U422l_HHC25to74","25 to 74 years","HHU422l_HHTotalIndividual","%",10,"ALB","Albania","14.9026",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Laptop computer: 25 to 74 years"
16448,"HH%U422d_HHTotalIndividual","Desktop computer","","%",10,"ALB","Albania","17.1625",2022,"","Institute of Statistics","Refers to the proportion of individuals who used a computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
16449,"HH%U422d_HHCMale","Male","HHU422d_HHTotalIndividual","%",10,"ALB","Albania","18.1584",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Desktop computer: Male"
16450,"HH%U422d_HHCFemale","Female","HHU422d_HHTotalIndividual","%",10,"ALB","Albania","16.1932",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Desktop computer: Female"
20720,"HH%U4212comp_HHC15to24","15 to 24 years","HHU4212comp_HHTotalIndividual","%",10,"ALB","Albania","45.0531",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): 15 to 24 years"
20723,"HH%U4212comp_HHC25to74","25 to 74 years","HHU4212comp_HHTotalIndividual","%",10,"ALB","Albania","18.6313",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): 25 to 74 years"
