city                  ,lat    ,lon   ,country    ,iso2,admin_name           ,capital,population
Zürich                ,47.3744,8.5411,Switzerland,CH  ,Zürich               ,admin  ,436332        
Geneva                ,46.2017,6.1469,Switzerland,CH  ,Genève               ,admin  ,201818        
Basel                 ,47.5547,7.5906,Switzerland,CH  ,Basel-Stadt          ,admin  ,177827        
Lausanne              ,46.5198,6.6335,Switzerland,CH  ,Vaud                 ,admin  ,139111        
Bern                  ,46.9481,7.4475,Switzerland,CH  ,Bern                 ,primary,133883        
Winterthur            ,47.4989,8.7286,Switzerland,CH  ,Zürich               ,minor  ,109775        
Lucerne               ,47.0500,8.3000,Switzerland,CH  ,Luzern               ,admin  ,81691         
Sankt Gallen          ,47.4242,9.3708,Switzerland,CH  ,Sankt Gallen         ,admin  ,75833         
Biel/Bienne           ,47.1333,7.2500,Switzerland,CH  ,Bern                 ,       ,55159         
Thun                  ,46.7667,7.6333,Switzerland,CH  ,Bern                 ,minor  ,43743         
Bellinzona            ,46.1954,9.0297,Switzerland,CH  ,Ticino               ,       ,43220         
Fribourg              ,46.8000,7.1500,Switzerland,CH  ,Fribourg             ,admin  ,38365         
Uster                 ,47.3500,8.7167,Switzerland,CH  ,Zürich               ,minor  ,36791         
Schaffhausen          ,47.7000,8.6333,Switzerland,CH  ,Schaffhausen         ,admin  ,36587         
Vernier               ,46.2000,6.1000,Switzerland,CH  ,Genève               ,       ,35132         
Chur                  ,46.8500,9.5333,Switzerland,CH  ,Graubünden           ,admin  ,35038         
Sion                  ,46.2333,7.3667,Switzerland,CH  ,Valais               ,       ,34708         
Neuchâtel             ,47.0000,6.9333,Switzerland,CH  ,Neuchâtel            ,admin  ,33475         
Zug                   ,47.1681,8.5169,Switzerland,CH  ,Zug                  ,admin  ,30542         
Yverdon-les-Bains     ,46.7785,6.6408,Switzerland,CH  ,Vaud                 ,minor  ,30157         
Emmen                 ,47.0833,8.3000,Switzerland,CH  ,Luzern               ,       ,29292         
Dübendorf             ,47.4167,8.6167,Switzerland,CH  ,Zürich               ,       ,28002         
Rapperswil-Jona       ,47.2167,8.8167,Switzerland,CH  ,Sankt Gallen         ,minor  ,26995         
Dietikon              ,47.4000,8.4000,Switzerland,CH  ,Zürich               ,       ,26936         
Wetzikon              ,47.3167,8.8000,Switzerland,CH  ,Zürich               ,       ,24452         
Meyrin                ,46.2167,6.0667,Switzerland,CH  ,Genève               ,       ,24144         
Carouge               ,46.1833,6.1333,Switzerland,CH  ,Genève               ,       ,22336         
Kreuzlingen           ,47.6333,9.1667,Switzerland,CH  ,Thurgau              ,minor  ,21801         
Wädenswil             ,47.2333,8.6667,Switzerland,CH  ,Zürich               ,       ,21716         
Aarau                 ,47.4000,8.0500,Switzerland,CH  ,Aargau               ,admin  ,21503         
Riehen                ,47.5833,7.6333,Switzerland,CH  ,Basel-Stadt          ,       ,21448         
Allschwil             ,47.5500,7.5333,Switzerland,CH  ,Basel-Landschaft     ,       ,21150         
Renens                ,46.5333,6.5833,Switzerland,CH  ,Vaud                 ,minor  ,20927         
Wettingen             ,47.4659,8.3267,Switzerland,CH  ,Aargau               ,       ,20843         
Nyon                  ,46.3833,6.2333,Switzerland,CH  ,Vaud                 ,       ,20272         
Bülach                ,47.5167,8.5333,Switzerland,CH  ,Zürich               ,       ,20046         
Vevey                 ,46.4667,6.8500,Switzerland,CH  ,Vaud                 ,       ,19891         
Opfikon               ,47.4333,8.5667,Switzerland,CH  ,Zürich               ,       ,19864         
Reinach               ,47.4833,7.5833,Switzerland,CH  ,Basel-Landschaft     ,       ,19144         
Baden                 ,47.4667,8.3000,Switzerland,CH  ,Aargau               ,       ,19122         
Onex                  ,46.1833,6.1000,Switzerland,CH  ,Genève               ,       ,18977         
Schlieren             ,47.4000,8.4500,Switzerland,CH  ,Zürich               ,       ,18731         
Adliswil              ,47.3167,8.5333,Switzerland,CH  ,Zürich               ,       ,18731         
Volketswil            ,47.3906,8.6953,Switzerland,CH  ,Zürich               ,       ,18615         
Thalwil               ,47.2833,8.5667,Switzerland,CH  ,Zürich               ,       ,18525         
