area_code;timestamp;num_meter;value_kwh;DateTimeUTC;PLZ;Date;Day;Month;Year;Time;Hour;Minute;DayOfWeek
6112;2024-02-01T12:00:00.000Z;400;52.568;2024-02-01 12:00:00+00:00;6112;2024-02-01;1;2;2024;12:00:00;12;0;4
6112;2024-02-01T12:15:00.000Z;400;56.274;2024-02-01 12:15:00+00:00;6112;2024-02-01;1;2;2024;12:15:00;12;15;4
6112;2024-02-01T12:30:00.000Z;400;54.034;2024-02-01 12:30:00+00:00;6112;2024-02-01;1;2;2024;12:30:00;12;30;4
6112;2024-02-01T12:45:00.000Z;400;53.981;2024-02-01 12:45:00+00:00;6112;2024-02-01;1;2;2024;12:45:00;12;45;4
6112;2024-02-02T12:00:00.000Z;400;50.967;2024-02-02 12:00:00+00:00;6112;2024-02-02;2;2;2024;12:00:00;12;0;5
6112;2024-02-02T12:15:00.000Z;400;56.383;2024-02-02 12:15:00+00:00;6112;2024-02-02;2;2;2024;12:15:00;12;15;5
6112;2024-02-02T12:30:00.000Z;400;57.703;2024-02-02 12:30:00+00:00;6112;2024-02-02;2;2;2024;12:30:00;12;30;5
6112;2024-02-02T12:45:00.000Z;400;53.956;2024-02-02 12:45:00+00:00;6112;2024-02-02;2;2;2024;12:45:00;12;45;5
6112;2024-02-03T12:00:00.000Z;400;45.132;2024-02-03 12:00:00+00:00;6112;2024-02-03;3;2;2024;12:00:00;12;0;6
6112;2024-02-03T12:15:00.000Z;400;49.495;2024-02-03 12:15:00+00:00;6112;2024-02-03;3;2;2024;12:15:00;12;15;6
6112;2024-02-03T12:30:00.000Z;400;48.797;2024-02-03 12:30:00+00:00;6112;2024-02-03;3;2;2024;12:30:00;12;30;6
6112;2024-02-03T12:45:00.000Z;400;48.190;2024-02-03 12:45:00+00:00;6112;2024-02-03;3;2;2024;12:45:00;12;45;6
6112;2024-02-04T12:00:00.000Z;400;48.341;2024-02-04 12:00:00+00:00;6112;2024-02-04;4;2;2024;12:00:00;12;0;7
6112;2024-02-04T12:15:00.000Z;400;52.440;2024-02-04 12:15:00+00:00;6112;2024-02-04;4;2;2024;12:15:00;12;15;7
6112;2024-02-04T12:30:00.000Z;400;52.486;2024-02-04 12:30:00+00:00;6112;2024-02-04;4;2;2024;12:30:00;12;30;7
6112;2024-02-04T12:45:00.000Z;400;44.825;2024-02-04 12:45:00+00:00;6112;2024-02-04;4;2;2024;12:45:00;12;45;7
6112;2024-02-05T12:00:00.000Z;400;50.373;2024-02-05 12:00:00+00:00;6112;2024-02-05;5;2;2024;12:00:00;12;0;1
6112;2024-02-05T12:15:00.000Z;400;49.947;2024-02-05 12:15:00+00:00;6112;2024-02-05;5;2;2024;12:15:00;12;15;1
6112;2024-02-05T12:30:00.000Z;400;49.230;2024-02-05 12:30:00+00:00;6112;2024-02-05;5;2;2024;12:30:00;12;30;1
6112;2024-02-05T12:45:00.000Z;400;48.847;2024-02-05 12:45:00+00:00;6112;2024-02-05;5;2;2024;12:45:00;12;45;1
6112;2024-02-06T12:00:00.000Z;400;48.339;2024-02-06 12:00:00+00:00;6112;2024-02-06;6;2;2024;12:00:00;12;0;2
6112;2024-02-06T12:15:00.000Z;400;51.845;2024-02-06 12:15:00+00:00;6112;2024-02-06;6;2;2024;12:15:00;12;15;2
6112;2024-02-06T12:30:00.000Z;400;54.978;2024-02-06 12:30:00+00:00;6112;2024-02-06;6;2;2024;12:30:00;12;30;2
6112;2024-02-06T12:45:00.000Z;400;52.479;2024-02-06 12:45:00+00:00;6112;2024-02-06;6;2;2024;12:45:00;12;45;2
6112;2024-02-07T12:00:00.000Z;400;52.293;2024-02-07 12:00:00+00:00;6112;2024-02-07;7;2;2024;12:00:00;12;0;3
6112;2024-02-07T12:15:00.000Z;400;56.950;2024-02-07 12:15:00+00:00;6112;2024-02-07;7;2;2024;12:15:00;12;15;3
6112;2024-02-07T12:30:00.000Z;400;52.463;2024-02-07 12:30:00+00:00;6112;2024-02-07;7;2;2024;12:30:00;12;30;3
6112;2024-02-07T12:45:00.000Z;400;48.260;2024-02-07 12:45:00+00:00;6112;2024-02-07;7;2;2024;12:45:00;12;45;3
6112;2024-02-08T12:00:00.000Z;400;39.949;2024-02-08 12:00:00+00:00;6112;2024-02-08;8;2;2024;12:00:00;12;0;4
6112;2024-02-08T12:15:00.000Z;400;43.337;2024-02-08 12:15:00+00:00;6112;2024-02-08;8;2;2024;12:15:00;12;15;4
6112;2024-02-08T12:30:00.000Z;400;43.390;2024-02-08 12:30:00+00:00;6112;2024-02-08;8;2;2024;12:30:00;12;30;4
6112;2024-02-08T12:45:00.000Z;400;38.995;2024-02-08 12:45:00+00:00;6112;2024-02-08;8;2;2024;12:45:00;12;45;4
