gemeinde.BFS_NUMMER,gemeinde.NAME,kanton.KUERZEL,kanton.NAME
1,Aeugst am Albis,ZH,Zürich
2,Affoltern am Albis,ZH,Zürich
3,Bonstetten,ZH,Zürich
4,Hausen am Albis,ZH,Zürich
5,Hedingen,ZH,Zürich
6,Kappel am Albis,ZH,Zürich
7,Knonau,ZH,Zürich
8,Maschwanden,ZH,Zürich
9,Mettmenstetten,ZH,Zürich
10,Obfelden,ZH,Zürich
11,Ottenbach,ZH,Zürich
12,Rifferswil,ZH,Zürich
13,Stallikon,ZH,Zürich
14,Wettswil am Albis,ZH,Zürich
21,Adlikon,ZH,Zürich
22,Benken,ZH,Zürich
23,Berg am Irchel,ZH,Zürich
24,Buch am Irchel,ZH,Zürich
25,Dachsen,ZH,Zürich
26,Dorf,ZH,Zürich
27,Feuerthalen,ZH,Zürich
28,Flaach,ZH,Zürich
29,Flurlingen,ZH,Zürich
30,Andelfingen,ZH,Zürich
31,Henggart,ZH,Zürich
32,Humlikon,ZH,Zürich
33,Kleinandelfingen,ZH,Zürich
34,Laufen-Uhwiesen,ZH,Zürich
35,Marthalen,ZH,Zürich
37,Ossingen,ZH,Zürich
38,Rheinau,ZH,Zürich
39,Thalheim an der Thur,ZH,Zürich
40,Trüllikon,ZH,Zürich
41,Truttikon,ZH,Zürich
43,Volken,ZH,Zürich
51,Bachenbülach,ZH,Zürich
52,Bassersdorf,ZH,Zürich
53,Bülach,ZH,Zürich
54,Dietlikon,ZH,Zürich
55,Eglisau,ZH,Zürich
56,Embrach,ZH,Zürich
57,Freienstein-Teufen,ZH,Zürich
58,Glattfelden,ZH,Zürich
59,Hochfelden,ZH,Zürich
60,Höri,ZH,Zürich
61,Hüntwangen,ZH,Zürich
62,Kloten,ZH,Zürich
63,Lufingen,ZH,Zürich
64,Nürensdorf,ZH,Zürich
65,Oberembrach,ZH,Zürich
66,Opfikon,ZH,Zürich
67,Rafz,ZH,Zürich
68,Rorbas,ZH,Zürich
69,Wallisellen,ZH,Zürich
70,Wasterkingen,ZH,Zürich
71,Wil,ZH,Zürich
72,Winkel,ZH,Zürich
81,Bachs,ZH,Zürich
82,Boppelsen,ZH,Zürich
83,Buchs,ZH,Zürich
84,Dällikon,ZH,Zürich
85,Dänikon,ZH,Zürich
86,Dielsdorf,ZH,Zürich
87,Hüttikon,ZH,Zürich
88,Neerach,ZH,Zürich
89,Niederglatt,ZH,Zürich
90,Niederhasli,ZH,Zürich
91,Niederweningen,ZH,Zürich
92,Oberglatt,ZH,Zürich
93,Oberweningen,ZH,Zürich
94,Otelfingen,ZH,Zürich
95,Regensberg,ZH,Zürich
96,Regensdorf,ZH,Zürich
97,Rümlang,ZH,Zürich
98,Schleinikon,ZH,Zürich
99,Schöfflisdorf,ZH,Zürich
100,Stadel,ZH,Zürich
101,Steinmaur,ZH,Zürich
102,Weiach,ZH,Zürich
111,Bäretswil,ZH,Zürich
112,Bubikon,ZH,Zürich
113,Dürnten,ZH,Zürich
114,Fischenthal,ZH,Zürich
115,Gossau,ZH,Zürich
116,Grüningen,ZH,Zürich
117,Hinwil,ZH,Zürich
118,Rüti,ZH,Zürich
119,Seegräben,ZH,Zürich
120,Wald,ZH,Zürich
121,Wetzikon,ZH,Zürich
131,Adliswil,ZH,Zürich
135,Kilchberg,ZH,Zürich
136,Langnau am Albis,ZH,Zürich
