Country;CountryCode;Messwert1;Messwert2;Messwert3;Messwert4;Messwert5;Messwert6;Messwert7;Messwert8;Messwert9;Messwert10;Target_Subjective-well-being
Austria;AT;8,02;7,1;7,67;6,82;7,2;5,64;8,1;7,21;5;7,93;9,05
Belgium;BE;8,14;8,31;7,93;7,21;7,34;7,16;7,14;9,78;4,06;5,61;8,64
Czechia;CZ;7,61;6,12;6,93;5,16;5,53;5,85;6,97;4;5,32;5,79;6,7
Denmark;DK;8,7;8,51;7,11;8,43;7,54;6,64;8,44;9,08;4,57;8,77;7,8
Estonia;EE;4,68;5,16;6,91;5,58;3,19;9,09;5,47;4,26;8,24;4,8;5,92
Finland;FI;8,62;7,57;7,68;9,25;6,09;9,79;9,01;5,03;10;8,01;9,87
France;FR;7,69;7,42;7,89;6,03;7,47;6,19;7,02;7,38;4,19;6,58;6,78
Germany;DE;8,03;7,02;8,36;3,86;6,95;7,51;5,68;6,46;3,64;7,67;6,56
Greece;EL;3,23;4,56;4,76;1;7,88;2,35;1,44;4,79;3,58;3,6;3,06
Hungary;HU;5,89;5,77;5,39;4,85;3,48;4,72;5,13;4,9;7,14;4,77;3,47
Iceland;IS;9,32;8,17;7,38;7,23;8,46;5,06;8,34;8,14;5,15;9,08;9,22
Ireland;IE;6,78;6,45;8,11;6,32;9,11;7,4;9,07;4,86;7,57;7,3;7,97
Israel;IL;4,04;4,86;5,35;5,96;7,4;2,91;7,71;5,44;1;6,53;8,23
Italy;IT;5,14;6,97;6,02;5,56;7,56;4,78;5,58;6,98;3,93;5,29;5,82
Latvia;LV;3,05;4,76;4,73;7,04;1,72;5,24;5,91;3,43;4,37;2,4;5,18
Lithuania;LT;4,16;5,89;5,17;3,62;1,04;4,16;5,51;1,91;5,12;1,47;3,74
Luxembourg;LU;8,15;8,43;7,67;6,55;7,68;4,57;6,92;10;5,97;6,9;8
Netherlands;NL;8,01;8,2;9,05;9,52;8,58;7,88;8,3;7,28;4,23;8,48;9,29
Norway;NO;8,68;9,14;8,78;7,28;8,13;6,56;8,75;7,24;7,46;9,77;9,1
Poland;PL;5,95;5,53;5,24;5,5;4,51;7,68;6,61;3,48;3,46;5,09;7,48
Portugal;PT;4,91;5,87;7,06;5,5;4,82;5,62;5,65;2,72;5,28;6,2;3,27
Slovak Republic;SK;6,72;4,91;4,87;4,78;4,99;3,4;6,52;3,75;8,75;5,57;5,16
Slovenia;SI;7,09;6,77;7,96;5,65;4,64;6,79;8,15;3,69;4,5;8,04;6,64
Spain;ES;4,6;5,72;6,99;5,25;8,24;5,13;7,62;6,05;5,63;7,58;6,16
Sweden;SE;8,1;8,64;6,95;7,22;8,51;5,92;8,27;9,01;9,66;8,16;8,72
Switzerland;CH;8,17;8,15;8,08;6,84;9,35;7,62;9,26;1;4,65;9,11;9,46
Türkiye;TR;2,57;5,06;4,62;3,48;6,11;1;1,66;7,81;1,01;3,91;1
United Kingdom;UK;6,04;6,25;7,75;5,33;7,94;6,72;7,96;5,07;4,71;7,91;8,23
